Reg,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,Clubs,9,6,9,13,12,11,10,9,11,7,10,8,9,8,7,8,7,6,5,4,3
,Trials,35,28,20,30,32,32,26,22,26,19,26,24,19,21,18,19,22,14,16,9,10
,Entries,1250,807,698,976,1015,906,733,756,844,587,681,744,628,542,522,1021,684,510,570,287,360
2,Clubs,12,11,10,14,9,10,7,7,7,7,8,7,7,5,4,6,4,5,6,3,1
,Trials,31,30,31,35,30,16,16,19,19,21,22,19,12,12,6,7,5,5,7,3,1
,Entries,1210,968,1216,1137,949,522,591,724,804,809,819,522,231,327,121,150,56,113,157,37,39
3,Clubs,8,6,8,7,7,5,6,5,6,4,6,6,6,6,4,5,4,5,4,5,2
,Trials,39,32,36,34,31,25,25,23,27,24,32,33,30,31,31,28,26,30,25,26,12
,Entries,1349,77,918,1346,979,755,685,609,743,810,979,758,1004,594,581,637,624,725,608,577,288
4,Clubs,6,9,7,12,10,14,10,9,10,9,11,7,7,8,7,7,8,6,4,3,3
,Trials,30,23,18,28,30,31,31,21,27,27,35,19,18,16,17,16,10,7,5,6,3
,Entries,753,910,964,1287,1280,1224,963,704,657,1029,630,392,446,351,404,319,209,181,128,126,86
5,Clubs,9,11,7,10,11,9,9,10,10,8,10,9,8,9,10,13,14,14,13,11,6
,Trials,35,36,35,35,36,35,35,34,32,32,33,32,30,34,34,35,36,40,34,34,14
,Entries,1977,2116,1846,1622,2173,1496,1569,1516,1105,1336,1817,1248,1332,1217,1475,1224,1683,1455,1244,1030,538
6,Clubs,16,15,18,22,21,17,12,17,17,16,14,14,12,13,11,10,8,8,8,8,3
,Trials,53,52,49,57,50,43,32,49,50,48,37,39,32,28,34,39,42,36,29,17,8
,Entries,3001,2625,2652,2864,2975,2904,1913,2690,2494,2921,2087,2141,2030,2101,1863,1913,1661,1340,1004,963,473
7,Clubs,11,11,14,13,11,13,11,12,12,13,14,10,11,11,14,14,9,9,7,6,4
,Trials,59,54,62,53,47,57,52,54,53,49,51,46,41,46,43,46,36,38,27,20,9
,Entries,3373,3123,4292,3194,2792,3507,3084,2980,2550,2651,2573,2297,1877,1815,1892,1618,1550,1504,886,470,188
8,Clubs,14,15,14,12,14,13,13,12,12,12,9,10,12,12,16,12,10,12,10,12,4
,Trials,57,54,57,47,47,46,42,41,40,39,39,43,44,39,49,42,41,47,42,41,26
,Entries,2727,2626,2732,2034,2066,2520,1886,1669,2270,1936,1961,2426,1769,1848,1826,1547,1493,1706,1641,1653,1286
9,Clubs,6,10,5,8,5,5,7,5,4,4,3,4,4,5,4,3,5,4,4,4,3
,Trials,18,25,21,22,19,12,23,21,20,18,11,17,19,13,13,15,19,16,14,19,8
,Entries,884,1144,941,917,643,576,1190,988,914,967,581,723,895,612,527,616,668,597,633,773,333
10,Clubs,7,5,10,8,7,8,8,6,6,3,5,7,5,7,5,3,3,4,4,4,2
,Trials,15,16,18,20,8,14,15,6,11,5,17,8,21,28,28,28,34,20,27,22,16
,Entries,604,352,518,440,380,578,409,134,268,152,486,161,383,238,273,190,339,237,296,245,243
Total trials,,372,350,347,361,330,311,297,290,305,282,303,280,266,268,273,275,271,253,226,197,107
