Year,Region,AH,AZ,BA,BZ,CE,CP,GE,GH,IB,IG,IW,LG,MA,PH,PO,PP,PQ,RR,SA,SD,SH,SL,SM,SN,SW,WH,Total,II
2003,8,25,12,100,220,0,0,0,100,44,34,4,,0,101,0,0,,337,194,140,,2,,,,924,2237,
2004,8,39,20,114,319,0,0,0,134,33,30,7,,0,64,0,0,,278,163,78,,3,,,,775,2057,
2005,8,22,27,110,269,3,1,0,83,18,28,20,,0,41,0,0,,371,102,53,,0,,,,775,1923,*
2006,8,12,14,97,276,2,2,0,76,35,26,41,,0,52,0,0,,355,122,31,,0,,,,745,1886,
2007,8,8,7,121,208,2,3,0,119,76,22,31,,0,35,0,0,,226,82,42,,0,,,,687,1669,
2008,8,60,9,129,351,9,5,0,120,106,29,33,,0,57,1,0,,420,84,25,,0,,,,832,2270,*
2009,8,50,10,122,257,1,1,3,113,73,25,61,,0,44,0,0,,304,144,40,,0,,,0,688,1936,
2010,8,89,19,151,275,0,4,2,100,38,18,39,,0,77,0,0,,194,142,16,,0,,,9,788,1961,
2011,8,94,20,180,299,0,8,0,101,66,45,28,,0,83,0,0,,313,144,42,,0,,,108,895,2426,*
2012,8,62,6,176,205,1,1,0,20,29,30,34,,0,37,0,4,0,256,193,28,,0,,76,42,569,1769,
2013,8,68,12,186,332,0,0,0,5,45,16,22,,0,23,0,3,0,260,75,54,,0,,94,24,629,1848,
2014,8,52,2,148,242,0,0,0,15,46,80,35,,0,28,0,0,0,170,80,36,,0,,68,29,795,1826,
2015,8,77,0,272,133,0,0,0,21,36,88,21,,0,24,0,1,0,216,48,25,,0,,100,3,482,1547,
2016,8,55,7,173,198,4,0,5,40,57,71,9,,0,14,0,1,0,194,100,16,,0,,133,6,410,1493,
2017,8,100,5,221,255,0,0,6,27,75,53,11,,0,27,0,5,0,247,105,21,,0,,175,21,352,1706,
2018,8,86,0,134,219,0,0,3,71,124,11,2,,0,54,0,10,0,279,94,11,,0,,197,16,330,1641,
2019,8,64,0,153,261,0,0,7,78,25,8,3,110,0,30,0,0,0,258,70,4,,0,35,236,37,274,1653,
2020,8,11,0,107,136,0,0,14,58,115,4,0,87,0,54,0,0,0,231,79,2,4,0,68,138,2,176,1286,
